Unnamed: 0,number_of_production,m,id,total_events,seed,decay_pos_x,LLP_number_per_ev,Cross_section_fb,decay_pos_y,decay_pos_t,mass_input,tau,tanb,decay_pos_z,tau_input,detected_SHiP,cross_section,detector_acceptance_SHiP,significance_lowest
13698,86882,0.158489,999999,91124,29581,691.066,292261,889274.0,-3435.06,3503.89,0.158489,8018.65,630.957,87285.1,2500990.0,True,3.20879208792088,6.232937334048044e-06,(1873.6801625131075+0j)
9386,86882,0.141254,999999,91124,29581,703.829,292261,889274.0,-3414.23,3486.03,0.141254,7117.49,1258.93,86964.8,2219920.0,True,3.20879208792088,6.232937334048044e-06,(472.6622528683417+0j)
10878,86882,0.125893,999999,91124,29581,533.78,292261,889274.0,-2540.56,2596.03,0.125893,4727.72,794.328,64835.1,1474560.0,True,3.20879208792088,6.232937334048044e-06,(1191.9667314505691+0j)
8646,86882,0.112202,999999,91124,29581,708.72,292261,889274.0,-3323.32,3398.05,0.112202,5518.75,501.187,84940.2,1721280.0,True,3.20879208792088,6.232937334048044e-06,(3004.8104625508854+0j)
13520,86882,0.1,999999,91124,29581,705.282,292261,889274.0,-3268.72,3343.94,0.1,4842.63,398.107,83645.8,1510400.0,True,3.20879208792088,6.232937334048044e-06,(4777.664371954684+0j)
120,86882,0.0891251,999999,91124,29581,612.264,292261,889274.0,-2811.59,2877.48,0.0891251,3715.37,316.228,72017.1,1158810.0,True,3.20879208792088,6.232937334048044e-06,(7593.948165812534+0j)
4814,86882,0.0794328,999999,91124,29581,806.414,292261,889274.0,-3676.32,3763.72,0.0794328,4332.5,316.228,94238.6,1351290.0,True,3.20879208792088,6.232937334048044e-06,(7613.530015075098+0j)
1486,86882,0.0707946,999999,91124,29581,657.858,292261,889274.0,-2981.9,3053.6,0.0707946,3133.55,251.189,76484.4,977344.0,True,3.20879208792088,6.232937334048044e-06,(12094.334253883382+0j)
9548,86882,0.0630957,999999,91124,29581,531.665,292261,889274.0,-2398.98,2457.18,0.0630957,2247.73,199.526,61562.4,701058.0,True,3.20879208792088,6.232937334048044e-06,(19207.497079833913+0j)
7844,86882,0.0562341,999999,91124,29581,677.352,292261,889274.0,-3045.37,3119.79,0.0562341,2543.87,199.526,78180.0,793425.0,True,3.20879208792088,6.232937334048044e-06,(19242.3580878385+0j)
